시군명,확진시기,확진자수
인제,2020-04-05,0
고성,2020-04-05,0
양양,2020-04-05,0
춘천,2020-04-06,1
원주,2020-04-06,0
강릉,2020-04-06,0
동해,2020-04-06,0
태백,2020-04-06,0
속초,2020-04-06,0
삼척,2020-04-06,0
홍천,2020-04-06,0
횡성,2020-04-06,0
영월,2020-04-06,0
평창,2020-04-06,0
정선,2020-04-06,0
철원,2020-04-06,1
화천,2020-04-06,0
양구,2020-04-06,0
인제,2020-04-06,0
고성,2020-04-06,0
양양,2020-04-06,0
춘천,2020-04-07,0
원주,2020-04-07,0
강릉,2020-04-07,0
동해,2020-04-07,0
태백,2020-04-07,0
속초,2020-04-07,0
삼척,2020-04-07,0
홍천,2020-04-07,0
횡성,2020-04-07,0
영월,2020-04-07,0
평창,2020-04-07,0
정선,2020-04-07,0
철원,2020-04-07,1
화천,2020-04-07,0
양구,2020-04-07,0
인제,2020-04-07,0
고성,2020-04-07,0
양양,2020-04-07,0
춘천,2020-04-08,0
원주,2020-04-08,0
강릉,2020-04-08,0
동해,2020-04-08,0
태백,2020-04-08,0
속초,2020-04-08,0
삼척,2020-04-08,0
홍천,2020-04-08,0
횡성,2020-04-08,0
영월,2020-04-08,0
평창,2020-04-08,0
정선,2020-04-08,0
철원,2020-04-08,0
화천,2020-04-08,0
양구,2020-04-08,0
인제,2020-04-08,0
고성,2020-04-08,0
양양,2020-04-08,0
춘천,2020-04-09,0
원주,2020-04-09,0
강릉,2020-04-09,0
동해,2020-04-09,0
태백,2020-04-09,0
속초,2020-04-09,0
삼척,2020-04-09,0
홍천,2020-04-09,0
횡성,2020-04-09,0
영월,2020-04-09,0
평창,2020-04-09,0
정선,2020-04-09,0
철원,2020-04-09,0
화천,2020-04-09,0
양구,2020-04-09,0
인제,2020-04-09,0
고성,2020-04-09,0
양양,2020-04-09,0
춘천,2020-04-10,0
원주,2020-04-10,0
강릉,2020-04-10,0
동해,2020-04-10,0
태백,2020-04-10,0
속초,2020-04-10,0
삼척,2020-04-10,0
홍천,2020-04-10,0
횡성,2020-04-10,0
영월,2020-04-10,0
평창,2020-04-10,0
정선,2020-04-10,0
철원,2020-04-10,0
화천,2020-04-10,0
양구,2020-04-10,0
인제,2020-04-10,0
고성,2020-04-10,0
양양,2020-04-10,0
춘천,2020-04-11,0
원주,2020-04-11,0
강릉,2020-04-11,0
동해,2020-04-11,0
태백,2020-04-11,0
속초,2020-04-11,0
삼척,2020-04-11,0
홍천,2020-04-11,0
횡성,2020-04-11,0
영월,2020-04-11,0
평창,2020-04-11,0
정선,2020-04-11,0
철원,2020-04-11,0
화천,2020-04-11,0
양구,2020-04-11,0
인제,2020-04-11,0
고성,2020-04-11,0
양양,2020-04-11,0
춘천,2020-04-12,0
원주,2020-04-12,0
강릉,2020-04-12,0
동해,2020-04-12,0
태백,2020-04-12,0
속초,2020-04-12,0
삼척,2020-04-12,0
홍천,2020-04-12,0
횡성,2020-04-12,0
영월,2020-04-12,0
평창,2020-04-12,0
정선,2020-04-12,0
철원,2020-04-12,0
화천,2020-04-12,0
양구,2020-04-12,0
인제,2020-04-12,0
고성,2020-04-12,0
양양,2020-04-12,0
춘천,2020-04-13,0
원주,2020-04-13,1
강릉,2020-04-13,0
동해,2020-04-13,0
태백,2020-04-13,0
속초,2020-04-13,0
삼척,2020-04-13,0
홍천,2020-04-13,0
횡성,2020-04-13,0
영월,2020-04-13,0
평창,2020-04-13,0
정선,2020-04-13,0
철원,2020-04-13,0
화천,2020-04-13,0
양구,2020-04-13,0
인제,2020-04-13,0
고성,2020-04-13,0
양양,2020-04-13,0
춘천,2020-04-14,0
원주,2020-04-14,0
강릉,2020-04-14,0
동해,2020-04-14,0
태백,2020-04-14,0
속초,2020-04-14,0
삼척,2020-04-14,0
홍천,2020-04-14,0
횡성,2020-04-14,0
영월,2020-04-14,0
평창,2020-04-14,0
정선,2020-04-14,0
철원,2020-04-14,2
화천,2020-04-14,0
양구,2020-04-14,0
인제,2020-04-14,0
고성,2020-04-14,0
양양,2020-04-14,0
춘천,2020-04-15,0
원주,2020-04-15,0
강릉,2020-04-15,0
동해,2020-04-15,0
태백,2020-04-15,0
속초,2020-04-15,0
삼척,2020-04-15,0
홍천,2020-04-15,0
횡성,2020-04-15,0
영월,2020-04-15,0
평창,2020-04-15,0
정선,2020-04-15,0
철원,2020-04-15,0
화천,2020-04-15,0
양구,2020-04-15,0
인제,2020-04-15,0
고성,2020-04-15,0
양양,2020-04-15,0
춘천,2020-04-16,0
원주,2020-04-16,0
강릉,2020-04-16,0
동해,2020-04-16,0
태백,2020-04-16,0
속초,2020-04-16,0
삼척,2020-04-16,0
홍천,2020-04-16,0
횡성,2020-04-16,0
영월,2020-04-16,0
평창,2020-04-16,0
정선,2020-04-16,0
철원,2020-04-16,0
화천,2020-04-16,0
양구,2020-04-16,0
인제,2020-04-16,0
고성,2020-04-16,0
양양,2020-04-16,0
춘천,2020-04-17,0
원주,2020-04-17,0
강릉,2020-04-17,0
동해,2020-04-17,0
태백,2020-04-17,0
속초,2020-04-17,0
삼척,2020-04-17,0
홍천,2020-04-17,0
횡성,2020-04-17,0
영월,2020-04-17,1
평창,2020-04-17,0
정선,2020-04-17,0
철원,2020-04-17,0
화천,2020-04-17,0
양구,2020-04-17,0
인제,2020-04-17,0
고성,2020-04-17,0
양양,2020-04-17,0
춘천,2020-04-18,0
원주,2020-04-18,0
강릉,2020-04-18,0
동해,2020-04-18,0
태백,2020-04-18,0
